iline it ipx ipy ipz
101 34 0.0007193008131940459 2.608126204904802 0.09919823150801069
101 82 2.171327759126207e-05 3.297294351542891 -0.8850394779301298
101 122 -4.883394066812485e-05 4.101930488207089 0.5565278721805164
101 166 -3.524425974432699e-05 2.734656544042252 0.4850957198332861
101 216 -4.056260737517192e-05 2.885306454041174 -0.6740699728174594
101 258 6.964278702947801e-06 4.271154826947325 -0.1622308855381727
101 300 -2.029887056731461e-05 3.038087074144196 0.7892108524838114
101 349 -2.350280549734407e-06 2.659889034164883 -0.327958322402466
101 394 -3.907261434576981e-05 3.900811826807168 -0.753162190759147
101 434 -1.537235841664319e-05 3.512293764362105 0.8951746908627715
101 481 -0.002894858628904706 2.603061610630538 0.05371918212674567
101 529 -3.358172651735103e-06 3.358866777724804 -0.8953187423481044
101 569 -2.143465044301962e-05 4.042607985918327 0.6298157120922624
101 614 -2.610000902592002e-05 2.704442098419063 0.4332734101770936
101 663 1.398795414919718e-05 2.935260802194768 -0.7197327342266852
101 705 -5.233799204273915e-05 4.285624316940177 -0.03518461418473051
101 747 1.52017058754339e-05 2.969941172123572 0.7466717503601359
101 796 -1.338277672013888e-05 2.687312781508254 -0.3986016596945235
101 841 -4.141288917747232e-05 4.003272901241916 -0.671529153793891
101 880 -8.072226092781243e-06 3.400062961195473 0.8990524612910517
101 928 -0.0247753636067074 2.600493410029774 -0.03109161119204453
101 976 -3.924485862022431e-05 3.480105036412067 -0.8999189181815701
101 1015 -3.026735740951914e-05 3.922339089291762 0.7392446839472996
101 1061 -2.282166104983219e-05 2.66148645334474 0.3396446790466057
101 1109 -1.015370638235424e-05 3.030969706167584 -0.7881719504576067
101 1151 -1.166242558903186e-05 4.271114431822379 0.1756221800101151
101 1193 -1.446002472316188e-06 2.872802891242539 0.6667438828062385
101 1242 9.493553543071798e-06 2.743655405573887 -0.5060263332102977
101 1286 -1.397393313662398e-05 4.140986208901661 -0.5066790820504646
101 1326 -2.0872781136827e-05 3.239980459781663 0.8761315863195684
101 1375 0.001183275988409394 2.611548983988289 -0.1569273275547608
101 1421 -4.683128153604166e-05 3.668502987985702 -0.8687576558367461
101 1460 -2.411473124563912e-05 3.730304558520883 0.8468378106740289
101 1507 -0.0001913157458430792 2.619134308775605 0.2002395902958748
101 1555 -2.113141928106188e-08 3.18907250841472 -0.8622159503799071
101 1595 -7.752706137065246e-06 4.175987835480476 0.4482863833631786
101 1639 -3.303776681540249e-05 2.763353322211383 0.5388986400847998
101 1688 -2.754995922582548e-05 2.846719108992226 -0.6422218190930726
101 1731 -4.741851061229596e-05 4.263206939812817 -0.2213762593146168
101 1772 1.589462608353465e-05 3.0504132648344 0.8018651891190905
101 1821 5.202501274093052e-05 2.654468179793638 -0.3272751553083592
101 1866 -4.257200453006149e-05 3.918084575752559 -0.7464003909405412
101 1905 -7.70269833216819e-06 3.473797402777493 0.9025808792522473
101 1953 -0.002577574723433229 2.596765699561618 0.01266853156178196
101 2000 -7.83377931135032e-06 3.429486262279083 -0.9042616649123696
101 2040 -1.277789121845174e-06 3.957263239887531 0.7160704545696581
101 2085 -2.893779827006782e-05 2.664030581086001 0.3557240848736977
101 2133 -2.581734452444806e-05 3.02236735243281 -0.7870443668397711
101 2174 -1.773340291122416e-05 4.272346856155615 0.1845792819010052
101 2217 1.03791948888321e-05 2.858653742922161 0.6575206924313363
101 2266 4.238594161815046e-05 2.754330651571699 -0.5288638826659472
101 2310 -2.308821932750504e-06 4.175478335643408 -0.4543973231754196
101 2350 -2.199056859653048e-05 3.18482045359138 0.863358286056257
101 2398 -0.001036646628772564 2.618777170945422 -0.212014202216325
101 2444 -2.446078187667844e-05 3.760718036828826 -0.838527556244703
