iline it ipx ipy ipz
176 8 3.514345735311508e-06 2.049454689025879 -0.4537487995740796
176 17 -0.002953320741653442 1.483038187026978 -0.6016905693579407
176 26 0.001576721668243408 1.337545156478882 -0.02647743716713804
176 41 0.003524690866470337 1.368302702903748 0.587718822146997
176 57 0.001064300537109375 1.428807854652405 0.7751976055629252
176 75 -0.001716673374176025 1.627216696739197 0.7562782539155443
176 101 1.132488250732422e-05 2.148973226547241 -0.320612971361152
176 112 -0.009077787399291992 1.51578962802887 -0.6551393978005323
176 119 0.0003375411033630371 1.349517703056335 -0.2151083459651579
176 134 0.0005351901054382324 1.350676298141479 0.4941703430760518
176 147 0.003556668758392334 1.389368414878845 0.754530690342087
176 162 -0.0005443692207336426 1.478039622306824 0.8123509513664178
176 178 -0.0002368688583374023 1.836496829986572 0.6505532378845849
176 204 -0.0001649558544158936 1.796409487724304 -0.6384470661812658
176 210 -0.008324354887008667 1.428274512290955 -0.5375198174336574
176 221 -0.0003497898578643799 1.332702040672302 0.118438977054369
176 235 0.005465859547257423 1.371355772018433 0.6413036191961528
176 251 -0.0005034804344177246 1.427274703979492 0.7936735776015302
176 267 -0.001910924911499023 1.623722314834595 0.7605702468173545
176 293 -0.0003004074096679688 2.156952619552612 -0.2984055017363462
176 304 -0.003293395042419434 1.517990350723267 -0.6478751478680577
176 311 0.001123785972595215 1.349931120872498 -0.2312678708448231
176 325 0.002472817897796631 1.344881772994995 0.4752133940738079
176 338 0.004036366939544678 1.379962921142578 0.7517595234320471
176 350 -0.002094954252243042 1.445452690124512 0.8182460735886915
176 366 0.0009382963180541992 1.693405866622925 0.7338606030692847
176 393 5.507469177246094e-05 1.983661770820618 -0.5056855920020791
176 401 -0.004089057445526123 1.4736487865448 -0.5765504755824152
176 411 0.001667261123657227 1.34277331829071 0.03731350623386326
176 426 0.002399355173110962 1.390828132629395 0.6116715864012966
176 450 -0.0007096529006958008 1.486077070236206 0.7656382018387579
176 468 -0.0001958012580871582 1.89117705821991 0.6213546472154101
176 492 1.484155654907227e-05 1.760687232017517 -0.6607440225471931
176 498 0.0001257359981536865 1.427039384841919 -0.4953005983609305
176 511 0.0009350627660751343 1.346902251243591 0.2159389730452917
176 525 0.001496236771345139 1.414198994636536 0.6697524899244257
176 552 -0.0003466010093688965 1.556237936019897 0.7527479246512931
176 574 -1.853704452514648e-05 2.210272312164307 0.1514089149581881
176 591 0.008843004703521729 1.584306120872498 -0.6393002149096616
176 599 0.0002288222312927246 1.369912028312683 -0.224902258152756
176 614 0.001067459583282471 1.383130550384521 0.4934571775837966
176 639 -0.0001561641693115234 1.485183000564575 0.7286538359098592
176 659 0.000170290470123291 1.865355491638184 0.6190926600400252
176 684 0.0003414154052734375 1.765191435813904 -0.6452151055009888
176 691 -0.005499213933944702 1.426039099693298 -0.4571313552533808
176 704 -0.0003368258476257324 1.359079122543335 0.2780110592204331
176 719 0.001889899373054504 1.446677565574646 0.6801047475873396
176 749 -5.260109901428223e-05 1.676145434379578 0.7190077489585841
176 776 0.0001336038112640381 2.00084924697876 -0.4762450328750062
176 786 -0.0004273056983947754 1.475846409797668 -0.5409972574490737
176 797 5.352497100830078e-05 1.352110266685486 0.1205113534180564
176 812 0.001210719347000122 1.425660610198975 0.6392574041992435
176 842 0.0005089044570922852 1.59893274307251 0.7337448891289429
176 868 6.020069122314453e-05 2.186460018157959 -0.1947434750693962
176 880 0.002288281917572021 1.528696537017822 -0.5886172799881652
176 890 0.001247286796569824 1.356493353843689 -0.02780630047217574
176 905 0.000872492790222168 1.414154291152954 0.59011913856621
176 936 1.498311758041382e-05 1.565794944763184 0.7239403780046937
176 960 0.0001635551452636719 2.230479717254639 0.03996971194133786
176 975 0.003417730331420898 1.570567011833191 -0.6227362556322779
176 984 -0.000998079776763916 1.369201183319092 -0.1494908935616741
176 999 0.001723408699035645 1.408643245697021 0.5391805938121009
176 1032 -0.001151368021965027 1.563623189926147 0.7089517195354808
176 1056 0.0001363456249237061 2.227641820907593 0.03647823577280655
